system:index,B2_max,B2_max_1,B2_mean,B2_median,B2_min,B2_stdDev,B3_max,B3_max_1,B3_mean,B3_median,B3_min,B3_stdDev,B4_max,B4_max_1,B4_mean,B4_median,B4_min,B4_stdDev,B5_max,B5_max_1,B5_mean,B5_median,B5_min,B5_stdDev,B6_max,B6_max_1,B6_mean,B6_median,B6_min,B6_stdDev,B7_max,B7_max_1,B7_mean,B7_median,B7_min,B7_stdDev,Cultivo,GlobalId,NDVI_max,NDVI_max_1,NDVI_mean,NDVI_median,NDVI_min,NDVI_stdDev,SAVI_max,SAVI_max_1,SAVI_mean,SAVI_median,SAVI_min,SAVI_stdDev,.geo
00000000000000000c2d_0,748,483,474,443,265,191,989,475,782,823,514,191,1304,1045,843,813,259,417,6361,4023,3512,2919,2338,1422,3508,1482,2713,2578,2026,535,2664,1700,1663,1532,964,636,G,443,9217,6260,5614,5641,2957,2496,13825,9391,8420,8461,4434,3744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73568483853738,-33.80445754093751]}"
00000000000000000c2e_0,777,514,489,528,263,194,1027,509,772,799,518,180,1317,1057,830,912,260,392,6455,4235,3423,2363,2220,1592,3602,1635,2758,2651,1967,542,2791,1815,1746,1871,976,680,G,443,9225,6528,5423,4429,2697,2560,13837,9792,8134,6642,4045,3840,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73649332229309,-33.80418804635227]}"
00000000000000000c2f_0,770,508,478,486,262,190,991,478,772,793,513,175,1242,990,811,827,252,384,6390,4125,3489,2470,2265,1541,3508,1457,2711,2584,2051,509,2662,1709,1671,1631,953,635,G,443,9241,6324,5602,4984,2917,2493,13860,9486,8402,7475,4374,3739,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73568483853738,-33.80418804635227]}"
00000000000000000c30_0,834,566,517,597,268,215,1068,553,784,820,515,190,1357,1103,846,974,254,403,6461,4462,3360,2292,1999,1681,3701,1705,2847,2881,1996,570,2890,1915,1836,2078,975,738,G,443,9243,6681,5180,3472,2562,2749,13864,10022,7769,5208,3842,4123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73622382770785,-33.8036490571818]}"
00000000000000000c31_0,727,462,471,472,265,181,978,466,770,803,512,175,1242,984,806,790,258,382,6436,4119,3500,2737,2317,1512,3484,1496,2688,2576,1988,516,2648,1677,1649,1546,971,622,G,443,9229,6207,5675,5518,3022,2417,13842,9309,8511,8277,4533,3626,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73622382770785,-33.80418804635227]}"
00000000000000000c32_0,778,510,486,508,268,192,1018,507,773,797,511,180,1258,1005,813,847,253,385,6425,4201,3483,2493,2224,1572,3540,1520,2734,2592,2020,515,2723,1760,1700,1701,963,654,G,443,9241,6371,5560,4928,2870,2531,13861,9556,8340,7391,4305,3797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73595433312262,-33.80391855176704]}"
00000000000000000c33_0,739,476,472,465,263,185,985,475,776,805,510,180,1273,1019,817,812,254,392,6396,4088,3539,2738,2308,1491,3481,1456,2691,2580,2025,510,2665,1699,1654,1560,966,627,G,443,9235,6263,5679,5423,2972,2447,13852,9394,8518,8134,4458,3670,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73595433312262,-33.80418804635227]}"
00000000000000000c34_0,804,536,503,558,268,205,1045,531,784,824,514,188,1324,1070,835,921,254,400,6455,4311,3415,2321,2144,1610,3647,1661,2792,2688,1986,555,2814,1838,1765,1864,976,695,G,443,9242,6505,5368,4247,2737,2626,13863,9758,8051,6369,4105,3940,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73622382770785,-33.80391855176704]}"
00000000000000000c35_0,721,452,462,441,269,177,975,468,769,791,507,176,1262,1009,813,772,253,390,6405,4117,3549,2858,2288,1482,3505,1516,2674,2568,1989,524,2663,1703,1632,1514,960,622,G,443,9239,6247,5720,5745,2992,2414,13858,9370,8579,8616,4488,3620,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73622382770785,-33.80445754093751]}"
00000000000000000c36_0,727,462,471,472,265,181,978,466,770,803,512,175,1242,984,806,790,258,382,6436,4119,3500,2737,2317,1512,3484,1496,2688,2576,1988,516,2648,1677,1649,1546,971,622,G,443,9229,6207,5675,5518,3022,2417,13842,9309,8511,8277,4533,3626,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73622382770785,-33.80418804635227]}"
0000000000000000001c_0,919,756,573,725,163,275,1387,1010,814,917,377,315,2002,1772,995,1146,230,536,4257,2721,2581,2122,1536,932,4210,2809,2771,3153,1401,956,2881,2375,2020,2631,506,958,M,179,8974,6626,4205,2752,2348,2653,13460,9938,6307,4128,3522,3980,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00005902665376,-33.64249129521076]}"
0000000000000000001d_0,871,708,570,740,163,270,1332,959,803,918,373,305,1908,1673,981,1153,235,516,4266,2656,2615,2149,1610,927,4101,2698,2779,3224,1403,953,2797,2287,2001,2611,510,955,M,179,8955,6558,4309,2829,2397,2617,13432,9837,6463,4243,3595,3925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.999520037483286,-33.64249129521076]}"
0000000000000000001e_0,926,765,573,718,161,274,1408,1025,813,902,383,316,2018,1785,994,1133,233,536,4300,2745,2580,2109,1555,953,4199,2790,2764,3138,1409,948,2878,2368,2022,2626,510,960,M,179,8971,6669,4195,2759,2302,2649,13456,10003,6291,4139,3453,3974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.99978953206852,-33.64276078979599]}"
0000000000000000001f_0,919,756,573,725,163,275,1387,1010,814,917,377,315,2002,1772,995,1146,230,536,4257,2721,2581,2122,1536,932,4210,2809,2771,3153,1401,956,2881,2375,2020,2631,506,958,M,179,8974,6626,4205,2752,2348,2653,13460,9938,6307,4128,3522,3980,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.99978953206852,-33.64249129521076]}"
00000000000000000020_0,926,765,573,718,161,274,1408,1025,813,902,383,316,2018,1785,994,1133,233,536,4300,2745,2580,2109,1555,953,4199,2790,2764,3138,1409,948,2878,2368,2022,2626,510,960,M,179,8971,6669,4195,2759,2302,2649,13456,10003,6291,4139,3453,3974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00005902665376,-33.64276078979599]}"
00000000000000000021_0,877,714,569,727,163,268,1333,949,810,914,384,303,1930,1693,994,1153,237,522,4233,2669,2582,2170,1564,904,4117,2702,2747,3141,1415,932,2844,2330,2008,2606,514,955,M,179,8939,6635,4223,2771,2304,2634,13407,9952,6334,4157,3455,3951,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00032852123899,-33.64249129521076]}"
00000000000000000022_0,911,748,568,713,163,272,1385,1007,809,901,378,314,1998,1768,989,1137,230,536,4308,2729,2592,2123,1579,947,4197,2809,2742,3120,1388,954,2868,2367,1999,2599,501,958,M,179,8986,6653,4234,2774,2333,2662,13478,9979,6351,4161,3499,3992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.99978953206852,-33.64222180062553]}"
00000000000000000023_0,898,728,572,724,170,271,1362,973,808,910,389,307,1946,1705,979,1120,241,519,4286,2722,2569,2100,1564,955,4141,2725,2743,3124,1416,932,2863,2342,2011,2614,521,952,M,179,8935,6660,4214,2746,2275,2646,13401,9989,6321,4119,3412,3968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.999520037483286,-33.64303028438123]}"
00000000000000000024_0,883,719,567,719,164,267,1337,954,809,914,383,304,1941,1708,986,1149,233,525,4293,2709,2599,2163,1584,928,4136,2740,2739,3144,1396,944,2849,2346,1995,2592,503,956,M,179,8970,6655,4265,2825,2315,2646,13454,9981,6397,4237,3473,3969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00032852123899,-33.64222180062553]}"
00000000000000000025_0,882,721,570,732,161,270,1338,962,803,912,376,305,1931,1696,981,1143,235,520,4269,2685,2598,2118,1584,942,4140,2739,2766,3196,1401,951,2823,2313,1986,2573,510,943,M,179,8956,6614,4267,2769,2342,2641,13433,9921,6400,4154,3512,3961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.999520037483286,-33.64222180062553]}"
00000000000000000026_0,911,744,571,720,167,271,1377,979,816,908,398,306,1993,1749,995,1140,244,530,4271,2722,2574,2126,1549,931,4180,2743,2749,3116,1437,931,2884,2359,2022,2629,525,956,M,179,8919,6605,4197,2749,2314,2624,13377,9906,6294,4123,3471,3935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00032852123899,-33.64303028438123]}"
00000000000000000027_0,919,756,573,725,163,275,1387,1010,814,917,377,315,2002,1772,995,1146,230,536,4257,2721,2581,2122,1536,932,4210,2809,2771,3153,1401,956,2881,2375,2020,2631,506,958,M,179,8974,6626,4205,2752,2348,2653,13460,9938,6307,4128,3522,3980,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.99978953206852,-33.64249129521076]}"
00000000000000000028_0,899,734,570,720,165,270,1358,966,811,910,392,306,1977,1735,990,1136,242,528,4303,2747,2576,2112,1556,947,4164,2746,2748,3114,1418,937,2858,2340,2021,2635,518,958,M,179,8935,6637,4199,2735,2298,2649,13401,9954,6298,4103,3447,3974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.99978953206852,-33.64303028438123]}"
00000000000000000029_0,940,756,594,731,184,273,1414,980,847,930,434,308,2011,1749,1033,1163,262,535,4438,2822,2627,2154,1616,983,4089,2531,2806,3145,1558,860,2846,2275,2059,2629,571,936,M,181,8885,6727,4069,2557,2158,2699,13326,10090,6104,3836,3236,4048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.003292961676586,-33.63844887643222]}"
0000000000000000002a_0,791,626,562,723,165,262,1209,846,789,919,363,294,1775,1544,970,1146,231,496,3981,2486,2477,2116,1495,842,4013,2650,2704,3131,1363,923,2853,2346,2013,2607,507,959,M,181,8903,6711,4171,2620,2192,2654,13353,10065,6255,3930,3288,3980,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00248447792088,-33.637640392676516]}"
0000000000000000002b_0,830,669,565,718,161,267,1269,899,797,911,370,305,1861,1624,984,1142,237,516,4067,2539,2523,2129,1528,870,4077,2701,2715,3132,1376,937,2874,2367,2032,2640,507,977,M,181,8898,6605,4191,2586,2293,2661,13346,9906,6286,3879,3440,3992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.003292961676586,-33.637640392676516]}"
0000000000000000002c_0,859,689,571,715,170,269,1307,932,811,923,375,309,1902,1661,1001,1158,241,521,4072,2538,2536,2166,1534,868,4122,2736,2739,3138,1386,931,2860,2346,2031,2607,514,958,M,181,8882,6667,4145,2587,2215,2654,13322,10000,6217,3880,3322,3981,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00248447792088,-33.63844887643222]}"
0000000000000000002d_0,905,727,581,716,178,270,1380,967,830,922,413,308,1985,1720,1019,1156,265,530,4271,2688,2587,2146,1583,933,4115,2621,2774,3143,1494,892,2858,2301,2045,2614,557,944,M,181,8831,6598,4111,2578,2233,2655,13245,9896,6166,3866,3349,3983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00275397250611,-33.63844887643222]}"
0000000000000000002e_0,900,725,579,724,175,271,1370,972,818,917,398,314,1980,1728,1004,1139,252,532,4216,2642,2566,2126,1574,920,4162,2717,2759,3137,1445,927,2872,2327,2051,2649,545,966,M,181,8871,6588,4154,2572,2283,2656,13306,9882,6231,3858,3424,3984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.003292961676586,-33.63790988726175]}"
0000000000000000002f_0,801,636,561,714,165,262,1217,849,789,916,368,293,1788,1558,973,1151,230,499,3997,2505,2479,2113,1492,847,4031,2668,2701,3115,1363,922,2843,2338,2012,2596,505,955,M,181,8911,6710,4161,2607,2201,2659,13366,10065,6240,3910,3301,3989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00248447792088,-33.63790988726175]}"
00000000000000000030_0,807,645,564,722,162,263,1239,880,793,917,359,300,1807,1576,975,1142,231,504,3985,2482,2487,2116,1503,845,4041,2684,2701,3123,1357,931,2858,2347,2024,2622,511,968,M,181,8904,6654,4176,2606,2250,2653,13354,9979,6263,3909,3375,3979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00275397250611,-33.637640392676516]}"
00000000000000000031_0,867,696,574,723,171,269,1325,942,814,922,383,310,1932,1685,1002,1152,247,526,4148,2601,2556,2152,1547,895,4133,2722,2748,3145,1411,931,2848,2323,2029,2611,525,958,M,181,8875,6611,4160,2577,2264,2650,13312,9917,6240,3865,3395,3975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00302346709135,-33.63817938184699]}"
00000000000000000032_0,838,679,566,720,159,267,1277,915,800,920,362,308,1870,1641,988,1152,229,518,4055,2547,2517,2127,1508,865,4097,2732,2712,3125,1365,940,2861,2358,2026,2624,503,972,M,181,8930,6665,4170,2564,2265,2663,13394,9997,6254,3845,3397,3995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00275397250611,-33.63790988726175]}"
00000000000000000033_0,838,679,566,720,159,267,1277,915,800,920,362,308,1870,1641,988,1152,229,518,4055,2547,2517,2127,1508,865,4097,2732,2712,3125,1365,940,2861,2358,2026,2624,503,972,M,181,8930,6665,4170,2564,2265,2663,13394,9997,6254,3845,3397,3995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00302346709135,-33.63790988726175]}"
00000000000000000034_0,867,696,574,723,171,269,1325,942,814,922,383,310,1932,1685,1002,1152,247,526,4148,2601,2556,2152,1547,895,4133,2722,2748,3145,1411,931,2848,2323,2029,2611,525,958,M,181,8875,6611,4160,2577,2264,2650,13312,9917,6240,3865,3395,3975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00275397250611,-33.63817938184699]}"
00000000000000000035_0,838,679,566,720,159,267,1277,915,800,920,362,308,1870,1641,988,1152,229,518,4055,2547,2517,2127,1508,865,4097,2732,2712,3125,1365,940,2861,2358,2026,2624,503,972,M,181,8930,6665,4170,2564,2265,2663,13394,9997,6254,3845,3397,3995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00275397250611,-33.63790988726175]}"
00000000000000000036_0,798,631,561,714,167,259,1192,827,783,907,365,290,1757,1526,963,1129,231,490,3959,2457,2454,2092,1502,835,3986,2613,2701,3126,1373,913,2854,2342,2022,2602,512,958,M,183,8897,6677,4157,2591,2220,2659,13344,10014,6235,3886,3330,3988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.004909929188,-33.63413696306845]}"
00000000000000000037_0,808,639,563,718,169,260,1176,808,787,917,368,288,1713,1481,963,1139,232,484,3945,2433,2456,2111,1512,820,3993,2611,2708,3128,1382,906,2835,2314,2015,2570,521,945,M,183,8889,6653,4167,2613,2236,2651,13332,9979,6250,3919,3353,3976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00464043460277,-33.63440645765368]}"
00000000000000000038_0,798,631,561,714,167,259,1192,827,783,907,365,290,1757,1526,963,1129,231,490,3959,2457,2454,2092,1502,835,3986,2613,2701,3126,1373,913,2854,2342,2022,2602,512,958,M,183,8897,6677,4157,2591,2220,2659,13344,10014,6235,3886,3330,3988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.004909929188,-33.63413696306845]}"
00000000000000000039_0,800,635,563,713,165,260,1209,837,785,905,372,290,1765,1529,964,1128,236,490,3992,2495,2470,2098,1497,850,4009,2631,2698,3109,1378,909,2843,2326,2017,2591,517,950,M,183,8883,6671,4167,2626,2212,2645,13323,10006,6250,3939,3317,3968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.004909929188,-33.63440645765368]}"
0000000000000000003a_0,794,629,556,714,165,256,1154,790,776,909,364,283,1662,1434,945,1122,228,471,3952,2466,2434,2082,1486,829,3901,2534,2686,3122,1367,898,2851,2340,2020,2598,511,957,M,183,8909,6655,4181,2657,2254,2646,13362,9982,6271,3986,3380,3969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.004909929188,-33.63386746848321]}"
0000000000000000003b_0,805,637,563,722,168,259,1146,783,782,917,363,282,1675,1444,957,1144,231,476,3947,2450,2440,2098,1497,820,3931,2551,2703,3137,1380,900,2856,2338,2022,2582,518,953,M,183,8894,6694,4155,2604,2200,2658,13339,10039,6232,3905,3300,3987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00464043460277,-33.63413696306845]}"
0000000000000000003c_0,800,635,561,716,165,260,1209,844,784,902,365,292,1770,1542,963,1129,228,493,3954,2425,2462,2084,1529,840,4020,2640,2700,3101,1380,913,2836,2325,2014,2595,511,954,M,183,8909,6712,4174,2628,2197,2660,13362,10066,6260,3942,3296,3990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00517942377324,-33.63413696306845]}"
0000000000000000003d_0,797,631,563,719,166,261,1204,834,784,909,370,289,1759,1528,963,1133,231,489,3981,2488,2463,2088,1493,850,4006,2627,2703,3109,1379,910,2826,2305,2011,2587,521,943,M,183,8903,6717,4163,2638,2186,2653,13353,10074,6243,3957,3279,3979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00517942377324,-33.63440645765368]}"
0000000000000000003e_0,805,637,563,722,168,259,1146,783,782,917,363,282,1675,1444,957,1144,231,476,3947,2450,2440,2098,1497,820,3931,2551,2703,3137,1380,900,2856,2338,2022,2582,518,953,M,183,8894,6694,4155,2604,2200,2658,13339,10039,6232,3905,3300,3987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00464043460277,-33.63413696306845]}"
0000000000000000003f_0,801,635,563,717,166,262,1205,840,782,903,365,291,1759,1526,961,1129,233,489,3970,2468,2462,2092,1502,844,4006,2634,2701,3117,1372,915,2833,2320,2014,2587,513,953,M,183,8891,6666,4175,2629,2225,2648,13335,9998,6261,3944,3337,3971,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00517942377324,-33.63386746848321]}"
00000000000000000040_0,794,628,559,712,166,259,1180,815,782,913,365,287,1701,1474,955,1132,227,479,3967,2474,2443,2093,1493,830,3967,2595,2702,3130,1372,907,2857,2345,2025,2589,512,958,M,183,8917,6690,4162,2615,2227,2657,13374,10034,6243,3923,3340,3986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00464043460277,-33.63386746848321]}"
00000000000000000041_0,800,635,563,713,165,260,1209,837,785,905,372,290,1765,1529,964,1128,236,490,3992,2495,2470,2098,1497,850,4009,2631,2698,3109,1378,909,2843,2326,2017,2591,517,950,M,183,8883,6671,4167,2626,2212,2645,13323,10006,6250,3939,3317,3968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.004909929188,-33.63440645765368]}"
00000000000000000042_0,808,639,563,718,169,260,1176,808,787,917,368,288,1713,1481,963,1139,232,484,3945,2433,2456,2111,1512,820,3993,2611,2708,3128,1382,906,2835,2314,2015,2570,521,945,M,183,8889,6653,4167,2613,2236,2651,13332,9979,6250,3919,3353,3976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.00464043460277,-33.63440645765368]}"
00000000000000000043_0,814,632,455,361,182,213,1043,626,739,729,417,223,1328,1087,818,748,241,360,4174,2233,2852,2553,1941,770,3676,2182,2490,2318,1494,719,2825,2292,1572,1475,533,743,M,185,8908,6001,5336,4438,2907,2083,13360,8999,8002,6656,4361,3124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.96771967642545,-33.68210699924043]}"
00000000000000000044_0,819,679,432,353,140,234,1056,689,701,697,367,243,1333,1145,756,737,188,398,4822,2811,3021,2398,2011,944,3619,2214,2381,2248,1405,775,2831,2334,1486,1415,497,812,M,185,9249,6395,5686,4643,2854,2370,13872,9591,8528,6964,4281,3556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.96691119266975,-33.68129851548473]}"
00000000000000000045_0,825,643,460,357,182,218,1070,640,743,740,430,222,1348,1098,828,746,250,360,4185,2284,2808,2430,1901,798,3681,2186,2511,2281,1495,737,2841,2309,1605,1482,532,766,M,185,8872,5997,5218,4378,2875,2118,13307,8995,7826,6565,4312,3177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.96771967642545,-33.68129851548473]}"
00000000000000000046_0,823,634,474,327,189,252,1046,638,721,616,408,238,1338,1091,785,639,247,403,4196,2116,2902,2467,2080,803,3617,2102,2459,2084,1515,813,2975,2434,1606,1210,541,907,M,185,8887,6270,5505,5883,2617,2464,13329,9404,8256,8823,3925,3696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.96691119266975,-33.68210699924043]}"
00000000000000000047_0,828,645,469,373,183,219,1054,627,748,735,427,224,1349,1101,846,772,248,365,4066,2182,2770,2468,1884,749,3646,2152,2527,2361,1494,722,2835,2295,1629,1549,540,753,M,185,8849,6069,5122,4191,2780,2127,13273,9104,7683,6286,4169,3191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.96745018184022,-33.68210699924043]}"
